,24H_change,market_cap,name,price,scrapping_time,supply,volume
0,-0.31519,63427128542.8,Bitcoin,$3616.48,20190214174507,"$6,256,753,260","$6,256,753,260"
1,-0.389655,12772595297.1,Ethereum,$121.80,20190214174507,"$3,331,902,833","$3,331,902,833"
2,-0.135068,12492988923.2,XRP,$0.303168,20190214174507,"$417,694,756","$417,694,756"
3,-0.186805,2529256361.34,Litecoin,$41.83,20190214174507,"$1,003,944,935","$1,003,944,935"
4,-3.30491,2506621127.39,EOS,$2.77,20190214174507,"$927,814,607","$927,814,607"
5,-0.446049,2154114157.52,Bitcoin Cash,$122.24,20190214174507,"$250,708,107","$250,708,107"
6,0.0310746,2031564607.61,Tether,$1.00,20190214174507,"$4,758,872,599","$4,758,872,599"
7,-2.14183,1577993013.91,TRON,$0.023668,20190214174507,"$130,579,319","$130,579,319"
8,-0.542643,1463385593.09,Stellar,$0.076334,20190214174507,"$225,194,285","$225,194,285"
9,-1.77554,1233300406.77,Binance Coin,$8.74,20190214174507,"$73,123,428","$73,123,428"
10,-2.36959,1110792915.19,Bitcoin SV,$63.04,20190214174507,"$56,787,951","$56,787,951"
11,-1.52761,1051481202.98,Cardano,$0.040555,20190214174507,"$11,503,830","$11,503,830"
12,-3.9998,798929576.185,Monero,$47.58,20190214174507,"$60,145,780","$60,145,780"
13,-0.457856,747888017.084,IOTA,$0.269070,20190214174507,"$4,338,983","$4,338,983"
14,-2.46036,679020929.375,Dash,$78.67,20190214174507,"$194,635,947","$194,635,947"
15,-5.82542,518771498.348,Maker,$518.77,20190214174507,"$1,542,013","$1,542,013"
16,-3.94932,517327901.132,NEO,$7.96,20190214174507,"$148,223,269","$148,223,269"
17,-0.315767,446714240.437,Ethereum Classic,$4.13,20190214174507,"$219,327,599","$219,327,599"
18,3.99564,382695098.203,NEM,$0.042522,20190214174507,"$17,702,218","$17,702,218"
19,-2.2643,305006026.154,Zcash,$51.74,20190214174507,"$231,467,129","$231,467,129"
20,-2.80171,268306569.346,Waves,$2.68,20190214174507,"$9,717,417","$9,717,417"
21,3.58657,248344475.731,Tezos,$0.408805,20190214174507,"$2,449,357","$2,449,357"
22,0.0207944,246523414.827,USD Coin,$1.01,20190214174507,"$27,772,959","$27,772,959"
23,0.235966,224441372.365,Dogecoin,$0.001898,20190214174507,"$16,745,980","$16,745,980"
24,0.490805,215880120.234,VeChain,$0.003893,20190214174507,"$2,745,306","$2,745,306"
25,-0.219172,208810997.855,TrueUSD,$1.01,20190214174507,"$55,742,514","$55,742,514"
26,-1.74993,184728116.844,Ontology,$0.569645,20190214174507,"$11,979,853","$11,979,853"
27,-0.617516,183153227.073,Bitcoin Gold,$10.52,20190214174507,"$7,473,198","$7,473,198"
28,-0.983881,170062873.169,Qtum,$1.91,20190214174507,"$169,679,769","$169,679,769"
29,-1.18487,158178740.483,OmiseGO,$1.13,20190214174507,"$28,323,008","$28,323,008"
30,-0.344476,155635731.501,Decred,$16.70,20190214174507,"$1,304,687","$1,304,687"
31,-2.5244,155439993.675,Holo,$0.001167,20190214174507,"$5,790,035","$5,790,035"
32,4.07498,155175030.72,Basic Attention Token,$0.126082,20190214174507,"$12,662,396","$12,662,396"
33,-2.78876,149119061.89,Chainlink,$0.426054,20190214174507,"$4,109,048","$4,109,048"
34,-0.256965,147974029.064,Augur,$13.45,20190214174507,"$5,528,975","$5,528,975"
35,-1.13172,139244682.801,Zilliqa,$0.016819,20190214174507,"$4,440,668","$4,440,668"
36,-2.52294,133088229.565,0x,$0.227870,20190214174507,"$8,975,086","$8,975,086"
37,-0.492133,131154242.822,Lisk,$1.14,20190214174507,"$3,013,908","$3,013,908"
38,-0.330162,117225843.003,Paxos Standard Token,$1.01,20190214174507,"$69,923,446","$69,923,446"
39,0.992241,115628186.705,Pundi X,$0.000680,20190214174507,"$5,268,375","$5,268,375"
40,-0.914149,113953461.254,Bytecoin,$0.000619,20190214174507,"$116,089","$116,089"
41,-3.0176,110363057.553,Nano,$0.828251,20190214174507,"$1,655,956","$1,655,956"
42,-1.04489,109156731.174,Bitcoin Diamond,$0.709931,20190214174507,"$895,214","$895,214"
43,-1.48188,106795769.157,BitShares,$0.039681,20190214174507,"$2,768,499","$2,768,499"
44,-0.688805,103381962.525,ICON,$0.218379,20190214174507,"$4,264,337","$4,264,337"
45,2.05409,102497309.473,DigiByte,$0.008963,20190214174507,"$535,782","$535,782"
46,2.06097,93798987.3653,Steem,$0.296854,20190214174507,"$1,408,950","$1,408,950"
47,-0.381723,89652589.2796,Aeternity,$0.384741,20190214174507,"$39,795,172","$39,795,172"
48,-1.35525,89237836.8035,Verge,$0.005882,20190214174507,"$435,333","$435,333"
49,-1.64229,88248827.7658,Siacoin,$0.002239,20190214174507,"$678,213","$678,213"
50,-3.00608,87916163.8773,Komodo,$0.786153,20190214174507,"$2,706,849","$2,706,849"
51,2.5412,86169158.9988,Stratis,$0.868532,20190214174507,"$4,579,040","$4,579,040"
52,0.00513127,81759463.2411,Gemini Dollar,$1.01,20190214174507,"$57,303,452","$57,303,452"
53,-3.4021,79104531.7694,IOST,$0.006584,20190214174507,"$3,339,104","$3,339,104"
54,-0.185456,78710258.756,Bytom,$0.078514,20190214174507,"$1,906,927","$1,906,927"
55,0.822149,78093341.4918,Dai,$0.999172,20190214174507,"$13,352,167","$13,352,167"
56,-1.30608,73722114.1028,Revain,$0.152177,20190214174507,"$1,902,661","$1,902,661"
57,6.5003,72890120.1298,THETA,$0.094601,20190214174507,"$12,178,432","$12,178,432"
58,1.36665,65163785.636,Status,$0.018777,20190214174507,"$12,920,763","$12,920,763"
59,-1.75602,64252347.2449,Populous,$1.21,20190214174507,"$2,145,260","$2,145,260"
60,-0.796959,61973383.4398,REPO,$0.563606,20190214174507,"$93,579","$93,579"
61,-4.43171,58032018.8125,Electroneum,$0.006498,20190214174507,"$211,440","$211,440"
62,-0.0278659,57784973.3996,Cryptonex,$1.04,20190214174507,"$5,376,385","$5,376,385"
63,-0.830725,56057513.4356,Golem,$0.058174,20190214174507,"$471,694","$471,694"
64,-0.74709,55500584.7835,Huobi Token,$1.11,20190214174507,"$5,525,853","$5,525,853"
65,-3.32332,53956157.0834,Ark,$0.497952,20190214174507,"$1,401,688","$1,401,688"
